A,B,C,D,E,F,G,H,I,J,RESULT
0,0,1,0,7,0,0,7,1,29,0
0,0,1,0,7,6510,0,22,1,19,0
0,0,1,0,7,0,0,4,1,70,0
0,0,1,0,7,7000,0,1,1,43260,0
0,0,1,1,7,7440,0,16,1,19,0
0,1,0,0,7,0,0,3,1,43260,0
1,0,0,1,6,10000,0,1,1,48,0
0,0,1,1,7,0,0,11,1,256,0
0,0,0,1,3,0,0,3,1,43260,0
0,0,0,1,6,0,0,1,1,1784,0
0,0,0,1,7,0,0,1,1,43260,0
0,1,0,1,7,0,0,14,1,43260,0
0,1,1,1,7,15000,0,18,1,8,0
0,0,1,0,6,0,0,2,1,40,0
0,0,1,0,7,10000,0,5,1,12,0
0,0,1,0,7,0,0,4,1,43260,0
0,0,0,1,1,7000,0,3,1,43260,0
0,0,1,0,7,0,0,4,1,43260,0
0,0,1,0,7,6000,0,4,1,63,0
0,0,0,1,1,0,0,1,1,43260,0
0,0,1,0,7,0,0,3,1,1791,0
0,0,1,0,3,0,0,1,0,43260,0
0,0,0,1,4,0,0,3,1,43260,1
0,0,0,1,7,25000,0,2,1,35,1
0,0,0,1,7,0,0,3,1,714,0
0,0,1,1,3,0,0,28,1,1,0
0,0,0,1,7,0,0,8,1,43260,0
0,0,1,1,7,13000,0,6,1,1,0
0,0,0,1,7,0,0,19,1,43260,0
0,0,1,1,7,0,1,3,1,57,0
0,0,1,1,7,7000,0,33,1,26,0
0,0,0,1,7,10500,0,1,1,511,0
0,0,0,1,2,5952,0,4,1,329,0
0,0,1,1,4,6882,0,5,1,0,0
0,0,1,0,7,11000,0,3,1,5,0
0,0,1,0,7,8900,0,22,1,43,0
0,0,1,0,7,0,0,14,1,333,0
0,0,1,1,7,8000,0,19,1,8,0
0,0,1,0,7,12000,0,16,1,43260,0
0,0,0,1,7,0,0,14,1,21,0
0,1,0,1,3,0,0,2,1,43260,0
0,1,0,0,7,0,0,11,1,28,0
0,0,0,1,7,0,0,7,1,8,0
0,1,0,0,7,0,0,1,1,71,0
1,0,1,1,7,0,0,15,1,43260,0
0,1,0,0,6,0,0,1,1,452,0
0,1,0,1,7,0,0,6,1,832,0
0,0,1,0,7,0,0,2,1,32,0
0,0,0,1,3,0,0,1,1,43260,0
0,0,0,1,4,5500,0,1,1,124,0
0,0,0,1,7,0,0,0,0,43260,0
0,0,1,0,7,8000,0,5,1,27,0
0,0,1,0,7,6500,0,4,1,60,1
0,0,0,1,1,0,0,0,1,43260,0
0,0,0,1,7,8000,0,2,1,489,0
0,0,1,0,5,5500,0,1,1,130,0
0,0,1,0,7,0,0,27,1,36,0
0,0,1,1,7,7600,0,6,1,36,0
0,0,0,1,3,10000,0,1,0,43260,0
1,0,0,0,2,0,0,0,1,425,0
0,0,1,1,7,9000,0,13,1,193,0
0,0,1,1,7,15000,0,4,1,48,0
0,0,0,1,6,0,0,1,1,48,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,1,0,7,6000,0,4,1,0,0
0,0,1,1,7,0,0,15,1,720,0
0,0,0,1,2,0,0,1,1,439,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,1,0,7,5580,0,25,1,20,0
0,0,0,1,7,6200,0,5,1,43260,1
0,1,0,0,3,0,0,1,1,43260,0
0,0,1,1,3,5580,0,2,1,43260,0
0,0,0,1,7,0,0,3,1,43260,0
0,0,0,1,1,0,0,1,1,43260,1
0,0,1,0,7,13000,0,4,1,21,0
0,0,0,1,7,0,0,1,1,1530,0
0,0,0,1,3,0,0,2,0,43260,0
1,1,0,0,7,12000,0,1,1,71,0
0,0,1,0,7,0,0,4,1,13,0
0,0,1,1,7,0,0,48,1,32,0
0,0,0,1,3,0,1,6,0,43260,0
0,0,0,1,3,0,0,2,0,43260,0
0,0,1,1,7,0,0,17,1,43260,0
0,0,1,0,6,0,0,2,1,43260,0
0,0,1,0,7,5394,0,2,1,14,0
0,0,0,1,6,0,0,2,1,43260,0
0,0,1,0,7,8500,0,12,1,21,0
0,0,1,0,3,0,0,3,0,43260,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,0,1,2,8500,0,8,1,873,0
0,0,1,1,7,0,0,10,1,246,0
0,0,1,1,7,0,0,5,1,400,0
0,1,1,1,7,15450,0,23,1,7,0
0,0,1,0,7,0,0,1,1,1972,0
0,1,1,1,7,0,0,10,1,43260,0
0,0,0,1,7,0,0,4,1,42,0
0,0,1,0,7,0,0,22,1,20,0
0,1,0,1,7,0,0,6,1,188,0
0,0,1,0,7,0,0,15,1,7,0
0,1,0,1,4,0,0,4,1,152,0
0,1,0,0,7,0,0,1,1,43260,0
1,0,1,1,7,0,1,4,1,0,0
0,0,1,0,7,0,0,7,1,1482,0
0,0,1,0,7,18000,0,3,1,1,0
0,0,0,1,3,0,0,2,0,43260,0
0,1,0,1,7,8000,0,4,1,1,0
0,0,0,1,6,8500,0,1,1,43260,0
0,0,0,1,7,6500,0,5,1,0,0
0,1,0,0,5,9000,0,3,1,1362,0
0,0,0,1,7,15000,0,31,1,25,0
0,0,0,1,7,18500,0,2,1,137,0
0,0,1,0,7,6500,0,2,1,82,0
0,0,1,1,7,0,1,4,1,187,0
0,1,1,1,7,9500,0,24,1,18,0
0,0,1,0,7,0,0,32,1,29,0
0,0,1,0,7,5208,0,62,1,43260,0
0,0,1,0,7,0,0,13,1,56,0
0,0,1,1,3,0,0,2,0,43260,0
0,0,0,1,7,0,0,7,1,43260,0
0,0,1,0,7,8500,0,9,1,25,0
0,0,0,1,6,5022,0,4,1,56,0
0,0,0,1,1,11000,0,1,1,43260,1
0,0,1,1,7,18000,0,17,1,18,0
0,0,1,0,3,0,0,5,1,0,0
0,0,0,1,1,0,0,1,1,43260,0
0,0,1,0,6,7440,1,1,1,43260,0
0,0,1,1,7,0,0,7,1,105,0
0,0,0,1,7,10000,0,3,1,29,0
0,0,1,1,7,17000,0,22,1,7,0
0,0,1,0,7,0,0,7,1,63,0
1,0,1,0,6,0,0,1,0,43260,0
0,1,1,0,6,0,0,8,1,4,0
0,0,1,0,7,6500,0,9,1,21,0
0,0,0,1,2,0,0,1,0,43260,0
0,0,1,0,7,5022,0,24,1,43260,0
0,0,0,1,6,206646,0,2,1,582,0
0,0,0,1,3,0,0,1,1,43260,0
1,0,0,1,7,0,0,7,1,27,0
0,0,0,1,4,0,0,0,1,43260,0
0,0,0,1,4,0,0,2,0,43260,0
0,0,0,1,2,0,0,4,1,43260,0
0,1,0,1,7,7200,0,4,1,21,0
0,0,0,1,3,0,0,4,1,43260,0
0,0,0,1,7,15000,0,3,1,1,0
0,0,0,1,7,0,0,1,1,462,0
0,0,1,0,7,0,0,5,1,43260,0
0,0,0,1,6,0,0,2,1,43260,0
0,0,1,0,7,8500,0,10,1,12,0
1,0,0,1,2,0,0,1,1,1,0
1,0,0,0,3,0,0,0,1,43260,0
0,0,0,1,1,0,0,2,1,840,0
0,1,0,0,1,0,0,7,1,43260,0
0,0,0,1,3,0,0,3,0,43260,0
0,0,0,1,7,0,0,3,1,671,0
0,0,0,1,7,0,0,1,0,43260,0
0,0,0,1,7,0,0,2,1,2044,0
0,0,0,1,4,20000,0,1,1,2449,1
0,0,1,0,4,10000,0,7,1,1,0
0,0,0,1,6,0,0,1,1,46,0
0,0,0,1,1,0,0,3,1,43260,0
0,0,0,1,7,0,0,32,1,64,0
0,0,1,0,7,0,0,1,1,123,0
0,0,0,1,7,0,0,6,1,43260,0
0,0,1,0,7,0,0,3,1,795,0
0,0,0,1,6,0,0,3,1,43260,0
0,0,1,0,7,0,0,4,1,312,0
0,0,1,1,7,0,0,16,1,13,0
0,0,0,1,7,5952,0,27,1,27,0
0,0,1,1,7,0,0,25,1,40,0
0,0,0,1,7,0,0,2,1,12,0
0,0,1,0,7,0,0,2,1,43260,0
0,0,0,1,7,7500,0,2,0,43260,0
0,1,1,1,7,7998,0,13,1,4,0
0,0,0,1,7,0,0,19,1,103,0
0,0,0,1,1,0,0,2,1,684,0
0,0,0,1,7,0,0,1,1,43260,0
0,0,1,1,7,6850,0,5,1,532,0
0,0,0,1,6,7440,0,3,1,43260,0
0,1,1,1,7,0,0,51,1,48,0
0,0,1,0,7,0,0,3,1,43260,0
0,0,0,1,5,0,0,1,1,1068,0
0,0,0,1,7,0,0,5,1,43260,0
0,0,1,0,7,0,0,3,1,43260,0
0,0,0,1,3,0,0,4,1,1,0
0,0,0,1,2,0,0,2,1,43260,0
0,0,0,1,3,0,0,2,0,43260,0
0,0,1,1,7,15000,0,10,1,4,0
0,0,1,0,7,7500,0,16,1,27,0
0,1,0,1,7,0,0,12,1,350,0
0,0,1,0,7,14000,0,3,1,91,0
0,0,0,1,6,7000,0,1,1,62,0
0,0,0,1,7,0,0,1,0,43260,0
0,0,0,1,7,0,0,3,1,46,0
0,0,1,1,3,0,0,3,0,43260,0
0,0,0,1,3,0,0,2,0,43260,0
0,0,1,0,7,15000,0,6,1,3,0
0,0,0,1,1,0,0,1,1,43260,0
0,0,0,1,7,0,0,0,1,251,0
0,0,0,1,2,0,0,1,0,43260,0
0,0,0,1,7,12000,0,6,1,223,0
0,0,0,1,7,6000,0,4,1,63,0
1,0,0,1,3,0,1,1,0,43260,0
0,0,0,1,7,0,0,1,1,495,0
0,1,0,1,3,0,0,4,1,7,0
0,0,1,0,7,15000,0,1,1,43260,1
0,0,0,1,7,65100,0,1,1,0,0
0,0,1,0,7,0,0,1,1,19,0
0,0,0,1,3,0,0,10,1,43260,0
0,0,0,1,7,5000,0,6,1,1720,0
0,0,0,1,6,8000,0,1,1,43260,0
0,0,1,0,7,0,0,1,1,3190,0
0,0,0,1,7,7440,0,4,1,32,0
0,0,0,1,6,0,0,0,1,82,0
0,0,1,0,3,0,0,4,1,43260,0
0,0,1,0,5,10500,0,1,0,43260,0
0,0,0,1,7,0,0,2,1,43260,0
0,0,0,1,6,0,0,1,1,43260,0
0,0,0,1,2,0,0,2,1,273,0
0,0,1,0,7,0,0,10,1,27,0
0,0,0,1,7,0,0,4,1,26,0
0,0,1,1,3,0,0,5,0,43260,0
0,1,1,1,7,0,0,17,1,43260,0
0,0,0,1,3,0,0,4,1,43260,0
0,0,0,1,3,0,0,14,1,43260,0
0,0,1,0,7,0,0,37,1,118,0
0,0,1,1,7,0,0,8,1,1476,0
0,0,0,1,7,0,0,2,1,2013,0
0,0,0,1,7,0,0,2,1,64,0
0,0,0,1,7,7500,0,10,1,833,0
0,0,1,0,7,0,0,2,1,187,0
0,0,0,1,7,0,0,11,1,839,0
0,1,1,0,6,9500,0,6,1,1615,1
1,0,1,0,3,0,0,1,0,43260,0
0,0,0,1,7,0,0,7,1,26,0
0,0,0,1,7,0,0,6,1,396,0
0,0,0,1,7,0,0,3,1,63,0
0,0,0,1,6,7000,0,1,0,43260,0
0,0,0,1,7,0,0,1,1,43260,0
0,0,1,0,7,0,0,3,1,43260,0
0,0,0,1,7,10500,0,14,1,8,0
0,0,0,1,7,0,0,4,1,113,0
0,1,1,0,3,0,0,1,0,43260,0
0,1,0,1,3,0,0,3,1,43260,0
0,0,0,1,3,0,0,1,1,43260,0
0,0,0,1,2,0,0,1,0,43260,0
0,0,0,1,7,744000,0,6,1,106,0
0,0,0,1,6,0,0,2,1,43260,0
0,0,1,0,7,11000,0,1,1,43260,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,0,1,7,5000,0,1,1,195,0
0,1,0,1,7,14000,1,2,1,6,0
0,1,0,1,7,10000,0,2,1,43260,0
0,1,0,1,7,7500,0,6,1,5,0
0,0,1,0,6,0,1,2,1,43260,0
0,0,0,1,7,0,0,1,1,1160,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,1,0,7,7500,0,1,1,347,0
0,0,1,0,7,16000,0,12,1,15,0
0,0,1,0,7,0,1,13,1,6,0
0,0,1,0,7,8000,0,1,1,43260,0
0,0,1,0,7,5580,0,3,1,43260,0
0,0,0,1,7,0,0,2,1,43260,0
0,0,0,1,2,0,0,1,0,43260,0
0,0,0,1,5,10000,0,1,0,43260,0
0,0,1,0,7,0,0,1,1,483,0
0,0,1,1,7,7300,0,8,1,56,0
0,0,0,1,3,0,0,2,1,43260,0
0,0,1,0,7,95000,0,10,1,25,0
0,0,0,1,7,0,0,1,1,43260,0
0,0,0,1,3,0,0,2,0,43260,0
0,0,1,0,7,0,0,2,1,43260,0
0,1,0,0,4,0,0,1,1,43260,0
0,1,0,1,7,11000,0,8,1,33,0
0,0,0,1,7,11000,0,2,1,1,0
0,0,1,1,3,6510,0,4,1,43260,0
0,0,1,0,7,0,0,3,1,61,0
1,0,0,0,1,9000,0,0,1,1363,0
0,0,1,0,7,0,0,16,1,28,0
0,1,1,1,7,0,0,16,1,6,0
0,0,0,1,1,0,0,4,1,43260,0
0,0,0,1,3,0,0,2,1,43260,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,1,1,7,12000,0,7,1,43,0
0,0,0,1,3,0,0,2,1,43260,0
0,1,1,1,7,12000,0,36,1,20,0
0,1,0,1,7,6500,0,6,1,28,0
0,0,0,1,7,5394,0,1,1,43260,0
0,0,1,1,7,0,0,11,1,1,0
0,0,0,1,7,8000,0,3,1,43260,0
0,0,0,1,7,6500,0,2,1,43260,0
0,0,0,1,7,0,0,1,1,41,0
0,0,1,0,7,7750,0,6,1,14,0
0,0,1,0,7,10000,0,6,1,123,0
0,1,0,1,2,18600,0,1,1,43260,0
0,1,0,0,7,6500,0,62,1,27,0
0,0,1,0,7,0,0,2,1,181,0
0,0,0,1,7,0,0,2,1,165,0
0,0,0,1,7,11000,0,1,1,43260,0
0,0,0,1,3,0,0,1,1,43260,0
1,0,1,1,2,8700,0,6,1,508,0
0,0,0,1,7,0,0,61,1,74,0
0,0,0,1,4,0,0,1,1,888,0
0,0,0,1,6,0,0,2,1,1555,0
0,0,1,1,7,13000,0,8,1,28,0
0,0,0,1,1,0,0,1,1,609,0
0,0,0,1,7,12000,0,3,1,150,0
0,0,0,1,7,12000,0,1,1,153,0
1,0,1,1,7,0,0,8,1,43260,0
0,1,1,1,7,0,0,18,1,56,0
0,0,0,1,7,0,0,2,1,1217,0
0,0,0,1,6,0,0,3,1,43260,0
0,0,1,1,7,11500,0,29,1,27,0
0,0,1,0,7,0,0,12,1,40,0
0,0,1,0,3,0,0,10,1,4,0
0,0,0,1,6,0,0,1,1,43260,0
0,0,1,1,7,0,1,29,1,5,0
0,0,0,1,7,0,0,24,1,43260,0
0,0,0,1,7,7000,0,9,1,43260,0
0,1,1,1,7,13000,0,9,1,12,0
0,0,1,0,7,0,0,5,1,34,0
0,0,0,1,7,14600,0,8,1,1517,0
0,0,1,0,7,15000,1,12,1,568,1
0,0,1,1,7,0,0,50,1,12,0
0,0,1,1,7,9000,0,7,1,6,0
0,0,0,1,7,5022,0,3,1,55,0
0,1,1,1,7,0,0,7,1,43260,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,0,1,7,0,0,30,1,88,0
0,0,0,1,7,0,0,1,1,43260,0
0,0,1,0,7,6000,0,9,1,18,0
0,0,1,0,7,0,0,2,1,396,0
0,0,0,1,1,10000,0,1,1,43260,0
0,0,0,1,7,0,0,0,1,43260,0
0,1,0,1,7,0,0,11,1,2574,0
0,0,1,0,7,0,0,10,1,55,1
0,0,1,0,7,0,0,14,1,43260,0
0,0,1,0,7,0,0,15,1,26,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,1,1,7,0,0,15,1,5,0
0,0,1,1,7,7000,0,16,1,4,0
0,0,1,1,7,8500,0,2,1,190,0
0,1,0,0,7,15000,0,9,1,13,0
0,0,0,1,4,7000,1,3,1,43260,0
0,0,0,1,7,0,0,8,1,2553,0
0,0,0,1,7,0,0,1,1,43260,0
1,1,0,0,4,0,0,11,1,272,0
0,1,0,0,7,0,0,1,1,43260,0
0,0,1,0,7,0,0,3,1,43260,0
0,0,0,1,6,0,0,2,1,42,0
0,0,1,1,7,8000,0,58,1,15,0
0,0,0,1,7,5022,0,17,1,8,0
0,0,0,1,3,6000,0,2,1,43260,0
0,0,0,1,6,0,0,1,1,97,0
0,0,1,0,7,0,0,23,1,43260,0
0,0,0,1,7,0,0,10,1,2176,0
0,0,0,1,7,12000,0,0,0,43260,0
0,0,0,1,4,0,0,3,1,323,0
0,0,1,0,7,6000,0,7,1,25,0
0,1,1,0,7,0,0,2,1,43260,0
0,0,0,1,3,0,0,5,0,43260,0
0,0,0,1,2,0,0,1,1,43260,0
0,0,1,0,7,0,0,12,1,26,0
0,0,1,0,7,0,0,10,1,40,0
0,1,0,1,7,6400,0,16,1,172,0
0,0,1,0,7,0,0,5,1,29,0
0,0,0,1,7,0,0,1,1,43260,0
0,0,1,0,7,0,0,55,1,0,0
0,0,1,1,6,0,0,3,1,8,0
0,0,1,0,7,0,0,7,1,4,0
0,0,0,1,7,0,0,6,1,2063,0
0,0,0,1,4,0,0,1,1,1701,0
0,0,0,1,7,12500,0,1,1,417,0
0,0,1,0,7,0,0,1,1,509,0
0,0,1,1,7,0,0,7,1,43260,0
0,1,0,0,7,0,0,14,1,32,0
0,0,1,0,7,21000,0,6,1,34,0
0,0,1,0,4,0,0,2,1,43260,0
0,1,0,1,7,10000,0,5,1,34,0
0,0,1,1,1,0,0,2,1,43260,0
0,0,1,0,7,7000,0,3,1,82,0
0,0,0,1,7,14000,0,9,1,19,0
0,1,0,1,7,6000,0,15,1,8,0
0,0,0,1,3,0,0,2,0,43260,0
0,0,0,1,7,12000,0,8,1,14,0
0,1,1,1,7,0,0,25,1,13,0
0,0,1,1,4,0,0,6,1,0,0
0,0,0,1,7,12000,0,5,1,13,0
0,0,1,0,7,0,0,17,1,7,0
0,1,1,1,7,8000,0,5,1,13,0
0,0,1,1,7,7000,0,9,1,43260,0
0,0,0,1,7,0,0,4,1,304,0
0,0,0,1,7,0,0,3,1,19,0
0,0,0,1,3,0,0,1,1,43260,0
0,0,0,1,7,10000,0,5,1,428,1
0,1,1,1,7,0,0,1,1,133,0
0,1,1,1,7,0,0,62,1,26,0
0,1,0,0,1,0,0,2,1,43260,0
0,0,1,1,7,19000,0,14,1,14,0
0,0,1,1,7,0,0,3,1,43260,0
0,0,1,0,7,0,0,11,1,43260,0
0,0,0,1,2,0,0,0,1,463,0
0,0,0,1,5,8500,0,0,1,84,0
0,0,1,0,3,0,0,1,0,43260,0
0,0,1,0,7,0,0,13,1,278,0
0,0,1,0,7,0,0,6,1,28,0
1,0,0,0,7,12500,0,0,1,43260,0
0,0,0,1,6,0,0,2,1,43260,0
0,0,1,0,7,0,0,1,1,43260,0
0,0,0,1,1,0,1,1,1,881,0
0,0,1,1,4,0,0,3,1,43260,0
0,1,1,1,7,9000,0,11,1,32,0
0,0,0,1,6,15000,0,5,1,118,0
0,1,0,0,7,5000,0,1,1,272,0
0,0,1,1,7,12000,0,10,1,855,0
0,0,0,1,7,9000,0,4,1,4,0
0,0,0,1,7,27000,0,5,1,12,0
0,0,1,0,7,0,0,13,1,43260,1
0,0,0,1,7,7000,0,8,1,15,0
0,0,0,1,1,0,0,1,1,43260,0
0,0,1,0,7,7000,0,5,1,12,0
0,0,0,1,7,0,0,2,1,18,0
0,0,1,0,7,10000,1,4,1,43260,0
0,1,0,1,7,0,0,9,1,43260,0
0,1,1,0,7,0,0,10,1,43260,0
0,0,1,1,7,0,0,16,1,39,0
0,0,1,1,7,0,0,4,1,313,0
0,0,1,0,7,18000,0,5,1,143,0
0,0,0,1,7,0,0,6,1,43260,0
0,1,0,1,4,0,0,4,1,43260,0
0,0,1,0,7,0,0,7,1,75,0
0,0,1,1,7,0,0,11,1,5,0
0,1,1,1,7,0,0,13,1,183,0
0,0,1,0,7,0,0,10,1,26,0
0,0,0,1,7,0,0,5,1,43260,0
0,0,1,1,7,0,0,3,1,1426,0
0,0,0,1,7,7440,0,5,1,77,0
0,0,0,1,5,20000,0,2,1,68,0
0,1,0,1,7,0,0,5,1,43260,0
0,0,0,1,2,0,0,4,1,43260,0
0,1,0,1,7,25000,0,1,1,43260,1
0,0,1,1,3,0,0,4,1,0,0
0,0,1,0,1,0,0,1,1,43260,0
0,0,0,1,7,0,0,5,1,1289,0
0,0,1,0,7,0,0,2,0,43260,0
0,0,1,1,7,8000,0,22,1,55,0
0,0,0,1,7,0,0,2,1,43260,0
0,0,1,0,7,0,0,9,1,84,0
0,0,0,1,7,0,0,1,1,1618,0
0,1,0,1,7,8000,0,53,1,12,0
0,0,0,1,5,5580,0,0,1,285,0
0,0,0,1,6,12000,0,1,1,113,0
0,1,1,1,7,9500,0,11,1,15,0
0,1,0,1,3,0,0,4,1,43260,0
0,0,1,0,7,0,0,17,1,43260,0
0,0,1,1,7,5000,0,4,1,34,0
0,1,0,0,7,10000,0,1,1,517,0
0,0,1,1,1,0,0,3,1,43260,0
0,0,1,0,7,0,0,2,1,872,0
0,0,0,1,7,8000,0,26,1,179,0
0,0,0,1,3,0,0,1,0,43260,0
0,1,1,1,7,0,0,106,1,64,0
0,0,0,1,7,8500,0,4,1,285,0
0,0,1,1,7,0,0,9,1,412,0
0,0,0,1,7,0,0,2,0,43260,0
0,0,1,0,7,5300,0,6,1,29,0
0,1,1,1,7,10000,0,27,1,26,0
0,0,1,0,7,7500,0,2,1,908,0
0,0,0,1,7,18000,0,3,1,1482,0
0,0,1,0,7,0,0,4,1,43260,0
0,1,0,0,7,46500,0,1,1,60,0
1,0,1,1,7,15000,1,30,1,12,0
0,0,1,1,7,0,0,15,1,25,0
0,0,0,1,7,0,0,3,1,914,0
0,0,1,0,7,0,0,9,1,43260,0
0,1,0,1,4,0,0,4,1,5,0
0,0,1,0,7,0,0,2,0,43260,0
0,0,1,1,7,0,0,5,1,336,0
0,0,0,1,7,0,0,3,1,544,0
0,0,0,1,7,0,0,4,1,43260,0
0,0,1,1,7,6510,0,3,1,43260,0
1,0,0,1,7,8370,0,27,1,43260,0
0,0,1,0,7,0,0,1,1,132,0
0,1,0,1,7,8500,0,3,1,43260,0
0,0,0,1,6,0,0,1,1,201,0
0,1,0,1,7,6300,0,12,1,0,0
0,0,0,1,7,0,0,2,1,20,0
0,0,1,0,7,0,0,15,1,47,0
0,0,1,1,7,0,0,7,1,1,0
0,0,1,0,7,9300,0,1,0,43260,0
0,0,0,1,7,13500,0,1,1,1379,0
0,0,0,1,4,0,0,1,1,43260,0
0,0,0,1,3,0,0,3,0,43260,0
0,0,1,0,7,0,0,4,1,43260,0
0,0,1,1,7,12500,0,4,1,4,0
0,0,1,0,6,7500,0,1,1,43260,0
0,0,1,1,4,5022,1,2,0,43260,0
0,0,0,1,7,5307,0,12,1,29,0
0,1,1,1,4,7500,0,11,1,5,0
0,0,1,1,7,0,0,4,1,137,0
0,0,1,0,3,0,0,23,1,6,1
0,0,1,0,4,0,0,3,1,187,0
0,0,1,0,7,0,0,1,1,328,0
0,0,1,0,7,5022,0,4,1,130,0
0,0,0,1,7,8000,0,3,1,48,0
0,0,0,1,7,0,0,2,1,43260,0
0,0,0,1,7,0,0,6,1,19,0
0,0,0,1,7,7000,0,6,1,6,0
0,0,1,1,7,0,0,5,1,537,0
0,0,1,0,7,0,0,3,1,12,0
0,0,0,1,7,0,0,1,1,953,0
1,0,0,0,2,0,0,0,1,43260,0
0,0,1,1,7,0,0,19,1,60,0
0,0,1,0,7,0,0,11,1,4,0
0,0,1,1,7,8000,0,12,1,341,0
0,0,1,0,7,0,0,1,1,2373,0
0,0,1,0,1,0,0,1,1,43260,0
0,1,0,1,7,0,0,14,1,446,0
0,0,1,0,7,0,0,4,1,43260,0
0,1,0,1,6,5208,0,6,1,50,0
0,0,1,1,7,0,0,12,1,4,0
0,1,0,1,3,0,0,2,1,43260,0
0,0,0,1,3,0,1,1,1,43260,0
0,0,1,0,7,0,0,5,1,43260,0
0,0,0,1,5,14500,0,1,1,1174,0
0,0,1,0,7,5678,0,3,1,25,0
0,0,1,1,7,8700,0,4,1,895,0
0,0,0,1,7,0,0,11,1,88,0
0,0,0,1,7,0,0,2,1,175,0
0,1,0,0,7,8000,0,2,1,98,0
0,0,1,0,7,7000,0,3,1,12,0
0,0,1,0,7,0,0,3,1,104,0
0,0,0,1,7,16000,0,6,1,33,0
0,1,1,1,2,0,0,5,1,978,0
0,0,0,1,6,12000,0,1,1,966,0
0,1,0,1,7,0,0,1,0,43260,0
0,1,1,0,7,0,0,1,1,43260,0
0,0,0,1,1,0,0,5,1,43260,0
0,0,1,0,7,0,0,13,1,2917,0
0,0,0,1,7,5580,0,10,1,0,0
0,0,1,0,7,0,0,1,1,43260,0
0,0,0,1,7,7500,0,5,1,26,0
0,0,0,1,7,0,0,4,1,43260,0
0,0,1,1,7,0,0,4,1,847,0
0,0,0,1,3,0,1,1,0,43260,0
0,0,0,1,7,26000,0,1,1,43260,0
0,0,1,1,4,0,0,4,1,43260,0
1,0,0,0,3,0,0,0,0,43260,0
0,0,1,1,7,0,0,5,1,159,0
0,0,1,0,7,0,0,8,1,43260,0
0,1,1,1,3,0,0,4,0,43260,0
0,0,0,1,7,10000,0,2,1,43260,0
0,1,1,1,7,0,0,13,1,351,0
1,0,1,1,7,0,0,13,1,747,0
0,0,1,0,7,6000,0,17,1,25,0
0,0,1,0,7,8370,0,3,1,43260,0
0,1,0,0,7,7000,0,2,1,272,0
0,0,0,1,3,0,0,3,0,43260,0
0,1,0,0,7,0,0,38,1,27,0
0,0,0,1,7,0,0,3,1,43260,0
0,0,0,1,7,5670,0,3,1,43260,0
0,0,1,0,7,7000,0,1,1,43260,0
0,0,1,0,7,0,0,13,1,6,0
0,0,1,1,7,0,0,7,1,43260,0
0,0,0,1,5,0,0,5,1,187,0
0,0,0,1,7,9500,0,9,1,96,0
0,0,1,0,7,0,0,18,1,50,0
0,0,0,1,4,0,0,1,1,174,0
0,0,1,0,7,0,0,5,1,27,0
0,0,0,1,7,6500,0,17,1,19,0
0,0,1,1,7,5394,1,29,1,7,0
0,0,1,0,7,0,0,5,1,21,0
0,0,0,1,3,0,0,1,0,43260,0
0,0,0,1,7,0,0,4,1,76,0
0,0,0,1,2,0,0,3,1,43260,0
0,0,1,0,7,12000,0,7,1,43260,0
0,0,0,1,6,0,1,1,1,1603,0
0,0,1,0,7,0,0,2,1,43260,0
0,0,1,1,7,0,0,3,1,21,0
0,0,1,0,7,8000,0,7,1,1918,0
0,0,0,1,3,0,0,4,1,43260,0
0,0,0,1,7,0,0,20,1,18,0
0,0,1,0,7,20000,0,7,1,31,0
0,0,1,0,7,0,0,8,1,91,0
0,0,1,0,7,28000,0,3,1,62,0
0,1,0,1,4,11000,0,1,1,153,0
0,0,1,0,7,20000,0,8,1,56,0
0,0,1,0,7,10000,0,4,1,8,0
0,0,0,1,7,7000,0,2,1,2041,0
0,0,1,0,7,5700,0,1,1,47,0
0,0,1,1,7,0,0,11,1,26,0
0,0,0,1,7,0,0,7,1,260,0
0,0,1,0,7,0,1,2,1,43260,0
0,0,1,0,7,0,0,4,1,43260,0
0,0,1,0,7,5000,0,4,1,39,0
0,0,1,1,7,0,0,10,1,8,0
0,0,1,0,7,12500,0,3,1,235,0
0,0,1,0,7,0,0,13,1,26,0
0,0,0,1,7,0,0,5,1,43260,0
0,0,1,1,7,10000,0,51,1,8,0
0,0,0,1,1,9500,0,1,1,43260,0
0,1,1,0,7,0,0,6,1,43260,0
0,0,0,1,6,0,0,1,1,34,0
0,1,0,0,7,0,0,8,1,76,0
0,0,1,0,7,0,0,9,1,6,0
0,0,1,0,7,10000,0,12,1,33,0
0,0,1,1,7,0,0,7,1,33,0
0,0,0,1,7,0,0,7,1,43260,0
0,0,1,0,7,10000,0,1,1,68,0
0,0,0,1,7,0,0,9,1,43260,0
0,0,0,1,7,7000,0,3,1,349,0
0,0,1,0,7,0,1,2,0,43260,0
0,1,0,1,1,0,0,2,1,43260,0
